"Referencia del pedido","Proveedor/ID SAE","Fecha de pedido","Moneda","Términos y condiciones","Solicitante","Líneas del pedido/Precio unitario","Líneas del pedido/Producto","Líneas del pedido/Cantidad","Líneas del pedido/Impuestos/Importe","Líneas del pedido/Descripción","Entregar en"
"OC 7842","10028","2026-07-27 17:49:57","MXN","EQUIPOS PARA SEGURIDAD PERIMETRAL","DANIEL MEDINA","167.62","EQUIPO","10.0","16.0","DAHUA DH-PFA152-E - MONTAJE PARA POSTE/ COMPATIBLE CON MONTAJES: PFA121, PFA130-E Y PFA135,","SEGURIDAD PERIMETRAL"
"OC 7841","1.103","2026-07-23 13:28:44","MXN","TÉRMINOS DE PAGO: 6 MESES SIN INTERESES

EQUIPO PARA SITE CHETUMAL","DANIEL MEDINA","17329.32","EQUIPO","3.0","16.0","NEMIX RAM 32GB (1X32GB) DDR5 5600MHZ PC5-44800 2Rx8 1.1V 288-PIN ECC UDIMM memoria sin búfer","CHETUMAL"
"OC 7840","","2026-07-23 11:50:22","MXN","MANTENIMIENTOS A UPS NAVE CHETUMAL","DANIEL MEDINA","7960.0","SERVICIO","2.0","16.0","SERVICIO DE MANTENIMIENTO PREVENTIVO A UPS MARCA TRIPPLITE DE 20 KVA (INCLUYE VIATICOS A CHETUMAL)","CHETUMAL"
"OC 7839","10028","2026-07-22 17:02:57","MXN","EQUIPOS PARA SESA ALMACEN ESTATAL","DANIEL MEDINA","3358.82","EQUIPO","16.0","16.0","DAHUA DH-IPC-HFW3449T-ZS-IL- CÁMARA IP BULLET DE 4 MP","SESA ALMACEN ESTATAL"
"","","","","","","212.85","EQUIPO","16.0","16.0","DAHUA PFA130E-CAJA DE CONEXIONES DAHUA, COMPATIBLE CON CÁMARAS DE LAS SERIES HFW, HDW, HDPW, T3A, T2A Y T1A.",""
"OC 7838","1.103","2026-07-21 19:33:09","MXN","TÉRMINOS DE PAGO: 6 MESES SIN INTERESES

EQUIPO PARA SITE CHETUMAL","DANIEL MEDINA","64800.0","EQUIPO","1.0","16.0","Servidor Gigabyte R123-C00-AA01, AMD Epyc 4545P, 32GB DDR5, 960GB, 2.5/3.5"", SATA, Rack (1U) - no Sistema Operativo Instalado","CHETUMAL"
"OC 7837","10028","2026-07-21 18:17:14","MXN","EQUIPOS PARA SESA ALMACÉN ESTATAL","DANIEL MEDINA","3358.82","EQUIPO","9.0","16.0","DAHUA DH-IPC-HFW3449T-ZS-IL- Cámara IP Bullet de 4 MP","SESA"
"","","","","","","212.85","EQUIPO","9.0","16.0","DAHUA PFA130E-Caja de conexiones Dahua",""
"","","","","","","2829.78","EQUIPO","2.0","16.0","TP-LINK TL-SG3428 - Switch Omada SDN administrable con 24 puertos",""
"","","","","","","167.14","EQUIPO","5.0","16.0","DAHUA DH-PFA152-E - Montaje para Poste",""
"","","","","","","-1545.61","DESCUENTO","1.0","16.0","DESCUENTO",""
"OC 7836","10028","2026-07-16 19:10:42","MXN","EQUIPOS PARA SEGURIDAD PERIMETRAL CANCUN","DANIEL MEDINA","1411.87","EQUIPO","20.0","16.0","TP-LINK TL-SG2210P - Switch PoE JetStream SDN administrable con 8
puertos 10/100/1000 Mbps y 2 puertos SFP , además de 8 puertos PoE con un
presupuesto total de 61W. Ofrece administración centralizada a través de
OMADA SDN.","CANCUN"
"OC 7835","1.103","2026-07-14 22:40:18","MXN","EQUIPOS PARA SESA ALMACEN ESTATAL","DANIEL MEDINA","6963.79","EQUIPO","4.0","16.0","DISCO DURO PARA VIDEOVIGILANCIA WESTERN DIGITAL WD PURPLE PRO 3.5"", 10TB, SATA III, 6 GBIT/S, 7200RPM, 512MB CACHÉ","SESA ALMACEN ESTATAL"
"","","","","","","183.63","SERVICIO","1.0","16.0","ENVIO",""
"OC 7834","10028","2026-07-14 22:25:54","MXN","EQUIPOS SESA ALMACEN ESTATAL","DANIEL MEDINA","167.14","EQUIPO","5.0","16.0","DAHUA DH-PFA152-E - MONTAJE PARA POSTE","SESA"
"","","","","","","919.45","EQUIPO","15.0","16.0","DAHUA IPC-HDPW1431R1-S4 - CAMARA IP DOMO DE 4 MEGAPIXELES",""
"","","","","","","129.78","EQUIPO","15.0","16.0","DAHUA PFA137 - CAJA DE CONEXIONES",""
"","","","","","","151.06","EQUIPO","4.0","16.0","DAHUA DH-PFB2203W - BRAZO DE PARED PARA CÁMARAS DOMO DAHUA",""
"","","","","","","394.55","EQUIPO","5.0","16.0","DAHUA PFB220C- MONTAJE DE TECHO PARA CAMARAS DAHUA MINI DOMO",""
"","","","","","","135.99","EQUIPO","5.0","16.0","DAHUA PFA106- ADAPTADOR PARA CAMARAS DOMO",""
"","","","","","","20752.29","EQUIPO","1.0","16.0","DAHUA DHI-NVR5864-16P-EI2 - NVR DE 64 CANALES IP 8K",""
"","","","","","","278.96","EQUIPO","2.0","16.0","SAXXON J60610 - ORGANIZADOR DE CABLE HORIZONTAL PARA RACK",""
"","","","","","","1645.65","COMISIONES","1.0","16.0","COMISIONES",""
"OC 7833","10198","2026-07-08 10:52:40","MXN","EQUIPOS PARA SESA ","DANIEL MEDINA","5150.0","EQUIPO","2.0","16.0","NO BREAK 2200VA 1300W","SESA"
"","","","","","","640.0","EQUIPO","2.0","16.0","TIRA MULTICONTACTO PARA RACK 10 SALIDAS",""
"","","","","","","478.2","SERVICIO","1.0","16.0","SERVICIO DE ENVIO",""
"OC 7832","10028","2026-07-06 13:39:30","MXN","EQUIPOS PARA SESA","DANIEL MEDINA","3368.43","EQUIPO","15.0","16.0","DAHUA DH-IPC-HFW3449T-ZS-IL- CÁMARA IP BULLET DE 4 MP","SESA"
"","","","","","","213.46","EQUIPO","15.0","16.0","DAHUA PFA130E-CAJA DE CONEXIONES DAHUA, COMPATIBLE CON CÁMARAS DE LAS SERIES HFW, HDW, HDPW, T3A, T2A Y T1A",""
"","","","","","","18650.53","EQUIPO","1.0","16.0","DAHUA DHI-NVR5832-16P-EI2 -NVR DE 32 CANALES IP 8K CON 16 PUERTOS POE Y 8 PUERTOS EPOE",""
"","","","","","","2837.87","EQUIPO","1.0","16.0","TP-LINK TL-SG3428 - SWITCH OMADA SDN ADMINISTRABLE CON 24 PUERTOS GIGABIT Y 4 PUERTOS SFP",""
"","","","","","","8857.7","EQUIPO","1.0","16.0","WESTERN DIGITAL WD102PURP - DISCO DURO DE 10TB PURPLE PRO/ ESPECIAL PARA VIDEOVIGILANCIA CON IA",""
"OC 7831","10228","2026-07-06 13:34:42","MXN","CANALIZACION Y CABLEADO ESTRUCTURADO SESA","DANIEL MEDINA","2200.0","SERVICIO","30.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS PARA SALIDA/NODO DE CCTV EDICIFIO 1","SESA"
"","","","","","","2500.0","SERVICIO","4.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS PARA SALIDA/NODO DE CCTV EDICIFIO 2 (NUEVO)",""
"","","","","","","2200.0","SERVICIO","13.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS PARA SALIDA/NODO DE PUNTO DE ACCESO EDFICIO 1",""
"","","","","","","2500.0","SERVICIO","2.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS PARA SALIDA/NODO DE PUNTO DE ACCESO EDIFICIO 2 (NUEVO)",""
"","","","","","","2200.0","SERVICIO","12.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS PARA SALIDA/NODO DE IMPRESORA EDIFICIO 1",""
"","","","","","","2500.0","SERVICIO","1.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS PARA SALIDA/NODO DE IMPRESORA EDIFICIO 2 (NUEVO)",""
"OC 7830","10228","2026-07-06 12:29:54","MXN","NODOS CCTV PARA CÁMARAS EN ALMACÉN ESTATAL SESA","DANIEL MEDINA","2500.0","SERVICIO","34.0","16.0","CANALIZACIÓN Y CABLEADO ESTRUCTURADO DE VOZ Y DATOS","SESA"
